date(Y/M/D),start_time,end_time,difficulty,attemps,incorrect_attemps,hints_used,pauses,completed_time
2021/12/22,15:41:09,15:41:15,easy,1,0,0,0,0.0:5.4
2021/12/22,16:54:04,16:59:37,easy,43,0,0,2,4.0:2.7
2021/12/22,16:59:58,17:01:00,medium,1,0,303,2,0.0:46.4
2021/12/22,16:59:58,17:01:00,medium,1,0,304,2,0.0:46.4
2021/12/22,17:02:55,17:13:45,medium,55,9,304,7,2.0:22.5
2021/12/22,17:02:55,17:21:15,medium,55,9,304,7,2.0:22.5
2021/12/23,09:44:27,09:47:37,easy,5,4,0,0,2.0:53.9
2021/12/23,09:53:44,09:54:10,easy,3,2,0,0,0.0:12.8
2021/12/23,09:54:47,09:54:59,easy,1,0,0,0,0.0:11.3
2021/12/23,09:55:29,09:55:38,easy,1,0,0,0,0.0:7.1
2021/12/23,10:17:47,10:17:55,easy,0,0,5,0,0:0
2021/12/23,10:17:47,10:18:00,easy,0,0,11,0,0:0
2021/12/23,10:19:01,10:19:03,easy,0,0,5,0,0:0
